Date,Stock
2019-05-28,1190.34
2019-05-29,1216.66
2019-05-30,1255.92
2019-05-31,1239.76
2019-06-03,1276.9
2019-06-04,1253.58
2019-06-05,1235.01
2019-06-06,1278.28
2019-06-07,1304.53
2019-06-10,1295.39
2019-06-11,1307.05
2019-06-12,1324.65
2019-06-13,1337.82
2019-06-14,1373.22
2019-06-17,1332.27
2019-06-18,1315.96
2019-06-19,1339.57
2019-06-20,1334.85
2019-06-21,1308.13
2019-06-24,1325.27
2019-06-25,1330.64
2019-06-26,1335.19
2019-06-27,1366.37
2019-06-28,1365.26
2019-07-01,1365.24
2019-07-02,1367.91
2019-07-03,1375.1
2019-07-05,1381.59
2019-07-08,1428.14
2019-07-09,1459.48
2019-07-10,1444.35
2019-07-11,1465.62
2019-07-12,1516.46
2019-07-15,1516.99
2019-07-16,1453.44
2019-07-17,1450.82
2019-07-18,1466.87
2019-07-19,1487.11
2019-07-22,1480.9
2019-07-23,1396.48
2019-07-24,1361.28
2019-07-25,1351.26
2019-07-26,1384.58
2019-07-29,1360.33
2019-07-30,1377.33
2019-07-31,1381.7
2019-08-01,1414.92
2019-08-02,1408.52
2019-08-05,1395.24
2019-08-06,1408.81
2019-08-07,1430.18
2019-08-08,1420.25
2019-08-09,1428.69
2019-08-12,1414.7
2019-08-13,1391.31
2019-08-14,1431.22
2019-08-15,1434.99
2019-08-16,1450.88
2019-08-19,1455.67
2019-08-20,1485.22
2019-08-21,1493.84
2019-08-22,1523.15
2019-08-23,1555.06
2019-08-26,1553.67
2019-08-27,1561.57
2019-08-28,1545.54
2019-08-29,1559.03
2019-08-30,1582.73
2019-09-03,1600.01
2019-09-04,1615.04
2019-09-05,1618.64
2019-09-06,1617.52
2019-09-09,1625.21
2019-09-10,1627.51
2019-09-11,1669.24
2019-09-12,1626.08
2019-09-13,1657.28
2019-09-16,1716.6
2019-09-17,1724.03
2019-09-18,1739.66
2019-09-19,1749.52
2019-09-20,1765.35
2019-09-23,1739.92
2019-09-24,1723.97
2019-09-25,1681.07
2019-09-26,1589.46
2019-09-27,1585.35
2019-09-30,1543.26
2019-10-01,1490.64
2019-10-02,1449.75
2019-10-03,1318.5
2019-10-04,1407.49
2019-10-07,1368.5
2019-10-08,1424.97
2019-10-09,1495.11
2019-10-10,1492.08
2019-10-11,1476.99
2019-10-14,1461.22
2019-10-15,1459.99
2019-10-16,1535.38
2019-10-17,1542.95
2019-10-18,1469.95
2019-10-21,1431.4
2019-10-22,1361.12
2019-10-23,1362.51
2019-10-24,1234.82
2019-10-25,1274.39
2019-10-28,1344.27
2019-10-29,1329.87
2019-10-30,1347.47
2019-10-31,1361
2019-11-01,1361.58
2019-11-04,1354.12
